timestamp,tool,filesize(mb),os,ram(gb),drive type,process(mb/s),researcher
368.523143,pandas,4483.807,windows,8,ssd nvme,12.167,m.poruchikov
364.046331,pandas,4483.807,windows,8,ssd nvme,12.317,m.poruchikov
0.046876,pandas,1.056,windows,8,hdd usb3,22.528,m.poruchikov
0.046902,pandas,1.056,windows,8,hdd usb3,22.515,m.poruchikov
0.062448000000000004,pandas,1.056,windows,8,hdd usb3,16.91,m.poruchikov
0.046862,pandas,1.056,windows,8,hdd usb3,22.534,m.poruchikov
0.046874,pandas,1.056,windows,8,hdd usb3,22.528,m.poruchikov
0.093667,pandas,2.123,windows,8,hdd usb3,22.665,m.poruchikov
0.093239,pandas,2.123,windows,8,hdd usb3,22.769,m.poruchikov
0.093615,pandas,2.123,windows,8,hdd usb3,22.678,m.poruchikov
0.093762,pandas,2.123,windows,8,hdd usb3,22.642,m.poruchikov
0.093669,pandas,2.123,windows,8,hdd usb3,22.665,m.poruchikov
0.265069,pandas,5.322,windows,8,hdd usb3,20.078,m.poruchikov
0.234359,pandas,5.322,windows,8,hdd usb3,22.709,m.poruchikov
0.234325,pandas,5.322,windows,8,hdd usb3,22.712,m.poruchikov
0.23425100000000001,pandas,5.322,windows,8,hdd usb3,22.719,m.poruchikov
0.23425,pandas,5.322,windows,8,hdd usb3,22.719,m.poruchikov
0.468681,pandas,10.751,windows,8,hdd usb3,22.939,m.poruchikov
0.43728599999999995,pandas,10.751,windows,8,hdd usb3,24.586,m.poruchikov
0.43743699999999996,pandas,10.751,windows,8,hdd usb3,24.577,m.poruchikov
0.452988,pandas,10.751,windows,8,hdd usb3,23.734,m.poruchikov
0.437363,pandas,10.751,windows,8,hdd usb3,24.581,m.poruchikov
0.859086,pandas,21.61,windows,8,hdd usb3,25.155,m.poruchikov
0.8747530000000001,pandas,21.61,windows,8,hdd usb3,24.704,m.poruchikov
0.874757,pandas,21.61,windows,8,hdd usb3,24.704,m.poruchikov
0.8747950000000001,pandas,21.61,windows,8,hdd usb3,24.703,m.poruchikov
0.874793,pandas,21.61,windows,8,hdd usb3,24.703,m.poruchikov
2.124406,pandas,54.17100000000001,windows,8,hdd usb3,25.499,m.poruchikov
2.124539,pandas,54.17100000000001,windows,8,hdd usb3,25.498,m.poruchikov
2.108873,pandas,54.17100000000001,windows,8,hdd usb3,25.687,m.poruchikov
2.124509,pandas,54.17100000000001,windows,8,hdd usb3,25.498,m.poruchikov
2.124541,pandas,54.17100000000001,windows,8,hdd usb3,25.498,m.poruchikov
4.264511,pandas,109.39399999999999,windows,8,hdd usb3,25.652,m.poruchikov
4.2801730000000004,pandas,109.39399999999999,windows,8,hdd usb3,25.558,m.poruchikov
4.248973,pandas,109.39399999999999,windows,8,hdd usb3,25.746,m.poruchikov
4.264132,pandas,109.39399999999999,windows,8,hdd usb3,25.654,m.poruchikov
4.311431,pandas,109.39399999999999,windows,8,hdd usb3,25.373,m.poruchikov
8.435527,pandas,219.851,windows,8,hdd usb3,26.063,m.poruchikov
8.482321,pandas,219.851,windows,8,hdd usb3,25.919,m.poruchikov
8.497935,pandas,219.851,windows,8,hdd usb3,25.871,m.poruchikov
8.498013,pandas,219.851,windows,8,hdd usb3,25.871,m.poruchikov
8.560538000000001,pandas,219.851,windows,8,hdd usb3,25.682,m.poruchikov
21.166853,pandas,551.203,windows,8,hdd usb3,26.041,m.poruchikov
21.291895,pandas,551.203,windows,8,hdd usb3,25.888,m.poruchikov
21.338754,pandas,551.203,windows,8,hdd usb3,25.831,m.poruchikov
21.354411,pandas,551.203,windows,8,hdd usb3,25.812,m.poruchikov
21.291853,pandas,551.203,windows,8,hdd usb3,25.888,m.poruchikov
43.177312,pandas,1113.011,windows,8,hdd usb3,25.778,m.poruchikov
43.724195,pandas,1113.011,windows,8,hdd usb3,25.455,m.poruchikov
42.989948,pandas,1113.011,windows,8,hdd usb3,25.89,m.poruchikov
42.911876,pandas,1113.011,windows,8,hdd usb3,25.937,m.poruchikov
43.630455,pandas,1113.011,windows,8,hdd usb3,25.51,m.poruchikov
99.539208,pandas,2236.616,windows,8,hdd usb3,22.47,m.poruchikov
93.868651,pandas,2236.616,windows,8,hdd usb3,23.827,m.poruchikov
97.149139,pandas,2236.616,windows,8,hdd usb3,23.022,m.poruchikov
99.940039,pandas,2236.616,windows,8,hdd usb3,22.38,m.poruchikov
97.680268,pandas,2236.616,windows,8,hdd usb3,22.897,m.poruchikov
371.28784,pandas,4483.807,windows,8,hdd usb3,12.076,m.poruchikov
373.70999700000004,pandas,4483.807,windows,8,hdd usb3,11.998,m.poruchikov
376.64624,pandas,4483.807,windows,8,hdd usb3,11.905,m.poruchikov
365.320765,pandas,4483.807,windows,8,hdd usb3,12.274,m.poruchikov
374.360179,pandas,4483.807,windows,8,hdd usb3,11.977,m.poruchikov
